iter	Passed	Remaining
0	4	427
1	8	402
2	12	389
3	15	379
4	21	410
5	27	430
6	31	421
7	36	416
8	43	437
9	49	448
10	57	461
11	63	466
12	67	452
13	73	448
14	76	436
15	80	423
16	86	420
17	90	411
18	94	402
19	98	393
20	105	395
21	109	388
22	113	380
23	119	379
24	123	371
25	127	363
26	137	371
27	147	378
28	151	371
29	155	362
30	159	356
31	165	351
32	169	343
33	174	338
34	179	332
35	182	324
36	186	316
37	189	309
38	192	301
39	196	295
40	200	288
41	204	281
42	207	274
43	211	269
44	214	262
45	218	256
46	222	250
47	226	245
48	230	239
49	233	233
50	237	228
51	241	222
52	244	216
53	248	211
54	251	205
55	255	200
56	259	195
57	263	190
58	266	185
59	270	180
60	273	174
61	277	169
62	280	164
63	283	159
64	287	154
65	291	149
66	294	145
67	297	140
68	301	135
69	305	130
70	308	126
71	311	121
72	315	116
73	318	111
74	322	107
75	326	103
76	329	98
77	333	94
78	337	89
79	340	85
80	344	80
81	347	76
82	351	72
83	355	67
84	358	63
85	361	58
86	365	54
87	369	50
88	372	46
89	376	41
90	379	37
91	384	33
92	388	29
93	393	25
94	396	20
95	401	16
96	404	12
97	408	8
98	412	4
99	416	0
